VTI	39.38	2009-03-30 14:00:02
VTI	39.4	2009-03-30 14:01:01
VTI	39.35	2009-03-30 14:02:02
VTI	39.34	2009-03-30 14:03:02
VTI	39.35	2009-03-30 14:04:02
VTI	39.33	2009-03-30 14:05:01
VTI	39.3	2009-03-30 14:06:02
VTI	39.3	2009-03-30 14:07:02
VTI	39.34	2009-03-30 14:08:02
VTI	39.35	2009-03-30 14:09:02
VTI	39.35	2009-03-30 14:10:02
VTI	39.45	2009-03-30 14:11:01
VTI	39.42	2009-03-30 14:12:02
VTI	39.41	2009-03-30 14:13:01
VTI	39.43	2009-03-30 14:14:02
VTI	39.4	2009-03-30 14:15:01
VTI	39.39	2009-03-30 14:16:02
VTI	39.41	2009-03-30 14:17:01
VTI	39.39	2009-03-30 14:18:02
VTI	39.33	2009-03-30 14:19:01
VTI	39.35	2009-03-30 14:20:02
VTI	39.31	2009-03-30 14:21:01
VTI	39.28	2009-03-30 14:22:02
VTI	39.3	2009-03-30 14:23:01
VTI	39.31	2009-03-30 14:24:02
VTI	39.31	2009-03-30 14:25:01
VTI	39.32	2009-03-30 14:26:05
VTI	39.39	2009-03-30 14:27:06
VTI	39.34	2009-03-30 14:28:07
VTI	39.33	2009-03-30 14:29:01
VTI	39.33	2009-03-30 14:30:02
VTI	39.19	2009-03-30 14:31:01
VTI	39.17	2009-03-30 14:32:02
VTI	39.11	2009-03-30 14:33:02
VTI	39.15	2009-03-30 14:34:01
VTI	39.16	2009-03-30 14:35:02
VTI	39.13	2009-03-30 14:36:01
VTI	39.14	2009-03-30 14:37:02
VTI	39.12	2009-03-30 14:38:01
VTI	39.1	2009-03-30 14:39:05
VTI	39.1	2009-03-30 14:40:01
VTI	39.11	2009-03-30 14:41:02
VTI	39.11	2009-03-30 14:42:01
VTI	39.11	2009-03-30 14:43:01
VTI	39.11	2009-03-30 14:44:03
VTI	39.08	2009-03-30 14:45:01
VTI	39.04	2009-03-30 14:46:02
VTI	39.05	2009-03-30 14:47:03
VTI	39.09	2009-03-30 14:48:01
VTI	39.12	2009-03-30 14:49:07
VTI	39.09	2009-03-30 14:50:01
VTI	39.11	2009-03-30 14:51:02
VTI	39.11	2009-03-30 14:52:01
VTI	39.16	2009-03-30 14:53:02
VTI	39.16	2009-03-30 14:54:01
VTI	39.17	2009-03-30 14:55:02
VTI	39.17	2009-03-30 14:56:01
VTI	39.18	2009-03-30 14:57:02
VTI	39.15	2009-03-30 14:58:01
VTI	39.15	2009-03-30 14:59:02
VTI	39.14	2009-03-30 15:00:02
VTI	39.13	2009-03-30 15:01:06
VTI	39.12	2009-03-30 15:02:01
VTI	39.13	2009-03-30 15:03:01
VTI	39.08	2009-03-30 15:04:01
VTI	39.08	2009-03-30 15:05:07
VTI	39.09	2009-03-30 15:06:01
VTI	39.1	2009-03-30 15:07:07
VTI	39.03	2009-03-30 15:08:01
VTI	39.04	2009-03-30 15:09:02
VTI	39.03	2009-03-30 15:10:02
VTI	39.04	2009-03-30 15:11:01
VTI	39.1	2009-03-30 15:12:08
VTI	39.19	2009-03-30 15:13:02
VTI	39.21	2009-03-30 15:14:02
VTI	39.19	2009-03-30 15:15:02
VTI	39.21	2009-03-30 15:16:01
VTI	39.21	2009-03-30 15:17:02
VTI	39.18	2009-03-30 15:18:03
VTI	39.16	2009-03-30 15:19:01
VTI	39.17	2009-03-30 15:20:02
VTI	39.24	2009-03-30 15:21:01
VTI	39.26	2009-03-30 15:22:02
VTI	39.23	2009-03-30 15:23:01
VTI	39.17	2009-03-30 15:24:02
VTI	39.13	2009-03-30 15:25:02
VTI	39.15	2009-03-30 15:26:01
VTI	39.14	2009-03-30 15:27:07
VTI	39.14	2009-03-30 15:28:01
VTI	39.1	2009-03-30 15:29:02
VTI	39.08	2009-03-30 15:30:04
VTI	39.04	2009-03-30 15:31:02
VTI	39.03	2009-03-30 15:32:02
VTI	38.99	2009-03-30 15:33:02
VTI	38.99	2009-03-30 15:34:02
VTI	39.01	2009-03-30 15:35:02
